resumoExpandidoEmCongresso	Igor Fabio Steinmacher	2014	How to Support Newcomers Onboarding to Open Source Software Projects	The 10th IFIP WG 2.13 International Conference on Open Source Systems, 2014, San Jose, Costa Rica. The 10th IFIP WG 2.13 International Conference on Open Source Systems	STEINMACHER, IGOR ; GEROSA, Marco Aurelio	B2	International Conference on Open Source Systems
resumoExpandidoEmCongresso	Igor Fabio Steinmacher	2012	Prediction of Developer Participation in Issues of Open Source Projects	2012 Brazilian Symposium on Collaborative Systems (SBSC), 2012	SCHWERZ, ANDRE LUIS ; Liberato, Rafael ; WIESE, Igor Scaliante ; STEINMACHER, IGOR ; GEROSA, Marco Aurelio ; Ferreira, João Eduardo	Qualis nao identificado	2012 Brazilian Symposium on Collaborative Systems (SBSC), 2012
artigoEmPeriodico	Igor Scaliante Wiese	2014		Comparing communication and development networks for predicting file change proneness: An exploratory study considering process and social metrics	Electronic Communications of the EASST	WIESE, IGOR S. ; NASSIF JUNIOR, D. ; RÉ, Reginaldo ; STEINMACHER, IGOR ; GEROSA, Marco Aurelio	B2	
artigoEmPeriodico	Igor Scaliante Wiese	2014	http://dx.doi.org/10.5329/RESI.2014.1302005	Historical Analysis of Message Contents to Recommend Issues to Open Source Software Contributors	RESI : Revista Eletrônica de Sistemas de Informação	STEINMACHER, Igor Fábio ; WIESE, Igor Scaliante ; SCHWERZ, André Luís ; ROBERTO, Rafael Liberato ; FERREIRA, João Eduardo ; GEROSA, Marco Aurélio	B4	
trabalhoCompletoEmCongresso	Igor Scaliante Wiese	2014		The Hard Life of Newcomers to Open Source Sotware Projects	7th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE 2014)	STEINMACHER, IGOR ; WIESE, Igor Scaliante ; CONTE, Tayana U. ; GEROSA, Marco Aurelio ; REDMILES, David. F.	Qualis nao identificado	7th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE 2014)
trabalhoCompletoEmCongresso	Igor Scaliante Wiese	2014		Using structural holes metrics from communication networks to predict change dependencies	International Conference on Collaboration and Technology (CRIWG 2014)	WIESE, Igor Scaliante ; KURODA, R. T. ; NASSIF JUNIOR, D. ; RÉ, Reginaldo ; OLIVA, G. A. ; GEROSA, Marco Aurelio	B1	CRIWG
trabalhoCompletoEmCongresso	Igor Scaliante Wiese	2014		Social Metrics included in Prediction Models on Software Engineering: A Mapping Study	PROMISE - The 10th International Conference on Predictive Models in Software Engineering	WIESE, Igor Scaliante ; COGO, F. R. ; RÉ, Reginaldo ; STEINMACHER, I. F. ; GEROSA, Marco Aurelio	Qualis nao identificado	PROMISE - The 10th International Conference on Predictive Models in Software Engineering
trabalhoCompletoEmCongresso	Igor Scaliante Wiese	2014		Um estudo empírico do uso da comunicação para caracterizar a ocorrência de dependências de mudanças no projeto Rails	2nd Workshop on Software Visualization	WIESE, Igor Scaliante ; KURODA, R. T. ; Ré, R. ; OLIVA, G. A. ; GEROSA, Marco Aurelio	B1	Software Visualization
trabalhoCompletoEmCongresso	Igor Scaliante Wiese	2013	http://dx.doi.org/10.1109/CHASE.2013.6614728	Why Do Newcomers Abandon Open Source Software Projects?. In: Workshop on Cooperative and Human Aspects of Software Development	2013 6th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE)	STEINMACHER, I. ; WIESE, Igor Scaliante ; CHAVES, A. P ; GEROSA, Marco Aurelio	Qualis nao identificado	2013 6th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE)
trabalhoCompletoEmCongresso	Igor Scaliante Wiese	2013	http://dx.doi.org/10.1145/2501543.2501547	What Can Commit Metadata Tell Us About Design Degradation?	the 2013 International Workshop	OLIVA, GUSTAVO ANSALDI ; STEINMACHER, IGOR ; WIESE, IGOR ; Gerosa, Marco Aurélio	Qualis nao identificado	the 2013 International Workshop
trabalhoCompletoEmCongresso	Igor Scaliante Wiese	2013		Predizendo a Participação de Desenvolvedores em Discussões em Projetos de Software Livre	XIV Workshop de Software Livre (WSL 2013)	SCHWERZ, André Luís ; ROBERTO, Rafael Liberato ; WIESE, Igor Scaliante ; STEINMACHER, Igor Fábio ; GEROSA, Marco Aurélio ; FERREIRA, João Eduardo	Qualis nao identificado	XIV Workshop de Software Livre (WSL 2013)
trabalhoCompletoEmCongresso	Igor Scaliante Wiese	2013		Uma abordagem para classificação de construção de software utilizando redes de comunicação e cooperação	WMSWM 2013 - X Workshop de Manutenção de Software Moderna	FONTOURA, VIdal Daniel ; WIESE, Igor Scaliante ; STEINMACHER, IGOR ; RÉ, Reginaldo ; SILVA, José Teodoro ; Gerosa, Marco Aurélio	Qualis nao identificado	WMSWM 2013 - X Workshop de Manutenção de Software Moderna
trabalhoCompletoEmCongresso	Igor Scaliante Wiese	2012	http://dx.doi.org/10.1109/SBSC.2012.16	Newcomers Withdrawal in Open Source Software Projects: Analysis of Hadoop Common Project	2012 Brazilian Symposium on Collaborative Systems (SBSC)	STEINMACHER, IGOR ; WIESE, IGOR S. ; CHAVES, ANA PAULA ; GEROSA, Marco Aurelio	B4	SBSC
trabalhoCompletoEmCongresso	Igor Scaliante Wiese	2012	http://dx.doi.org/10.1109/SBSC.2012.27	Prediction of Developer Participation in Issues of Open Source Projects	2012 Brazilian Symposium on Collaborative Systems (SBSC)	SCHWERZ, ANDRE LUIS ; ROBERTO, Rafael Liberato ; WIESE, Igor Scaliante ; STEINMACHER, Igor Fábio ; GEROSA, Marco Aurélio ; FERREIRA, João Eduardo	B4	SBSC
