trabalhoCompletoEmCongresso	2015		Social Barriers Faced by Newcomers Placing Their First Contribution in Open Source Software Projects	18th ACM Conference on Computer-Supported Cooperative Work and Social Computing	STEINMACHER, Igor ; CONTE, TAYANA ; REDMILES, David F. ; GEROSA, Marco Aurelio	Qualis nao identificado	18th ACM Conference on Computer-Supported Cooperative Work and Social Computing
trabalhoCompletoEmCongresso	2015		Understanding and Supporting the Choice of an Appropriate Task to Start With In Open Source Software Communities	48th Hawaii International Conference on System Sciences (HICSS-48)	STEINMACHER, Igor ; CONTE, Tayana U. ; GEROSA, Marco Aurelio	A1	HICSS
trabalhoCompletoEmCongresso	2015		Fostering Free/Libre Open Source Software community formation: guidelines for communities to support newcomers onboarding	XVI Workshop de Software Livre	STEINMACHER, Igor ; GEROSA, Marco Aurelio	Qualis nao identificado	XVI Workshop de Software Livre
trabalhoCompletoEmCongresso	2015		Increasing the self-efficacy of newcomers to Open Source Software projects	29th Brazilian Symposium on Software Engineering (SBES 2015)	STEINMACHER, Igor Fábio ; GEROSA, Marco Aurelio ; CONTE, Tayana U. ; WIESE, IGOR S.	B2	SBES
trabalhoCompletoEmCongresso	2015		Quem é quem na lista de discussão? Identificando diferentes e-mails de um mesmo participante	Simpósio Brasileiro de SIstemas Colaborativos	TEODORO, José da Silva ; SCALIANTE WIESE, IGOR ; STEINMACHER, IGOR ; GEROSA, M. A.	B4	Simpósio Brasileiro de Sistemas Colaborativos
trabalhoCompletoEmCongresso	2015		An Empirical Study of the Relation Between Strong Change Coupling and Defects Using History and Social Metrics in the Apache Aries Project	11th Intl. Conf. on Open Source Systems	WIESE, Igor Scaliante ; KURODA, R. T. ; RÉ, Reginaldo ; OLIVA, G. A. ; GEROSA, M. A.	Qualis nao identificado	11th Intl. Conf. on Open Source Systems
trabalhoCompletoEmCongresso	2015		Informações contextuais do desenvolvimento de software na predição de propagação de mudanças	29th Brazilian Symposium on Software Engineering (SBES 2015)	WIESE, IGOR ; RÉ, Reginaldo ; STEINMACHER, Igor ; KURODA, Rodrigo ; OLIVA, Gustavo A. ; GEROSA, Marco Aurelio	B2	SBES
trabalhoCompletoEmCongresso	2014		A Systematic Review of Game Design Methods and Tools	ICEC 2013 - XII International Conference on Entertainment Computing	ALMEIDA, Marcos Silvano ; SILVA, F. S. C.	Qualis nao identificado	ICEC 2013 - XII International Conference on Entertainment Computing
trabalhoCompletoEmCongresso	2014		Filtragem Colaborativa de Rotas de Ônibus Usando Dados sobre a Acessibilidade das Vias Urbanas	Simpósio Brasileiro de Sistemas Colaborativos (SBSC'14)	ANTONIO, Marlon F. ; COGO, Filipe R. ; STEINMACHER, IGOR ; CHAVES, Ana Paula	B4	Simpósio Brasileiro de Sistemas Colaborativos
trabalhoCompletoEmCongresso	2014		A elaboração dos gráficos da Análise Rítmica por meio do software livre gnuplot	XI SBCGA (Simpósio Brasileiro de Climatologia Geográfica Aplicada e - V SPEC - Simpósio Paranaense de Climatologia	BORSATO, V. A. ; BORSATO, Frank Helbert	Qualis nao identificado	XI SBCGA (Simpósio Brasileiro de Climatologia Geográfica Aplicada e - V SPEC - Simpósio Paranaense de Climatologia
trabalhoCompletoEmCongresso	2014		Competições de programação como instrumento para formação e aperfeiçoamento em Informática	4º Seminário de Extensão e Inovação da UTFPR	DINIZ, G. C. ; RIGHETTO, G. ; GRACIOTTO SILVA, M. A.	Qualis nao identificado	4º Seminário de Extensão e Inovação da UTFPR
trabalhoCompletoEmCongresso	2014		Indirect Branch Emulation Techniques in Virtual Machines	International Conference of the Chilean Computer Science Society	FOLEISS, J. H. ; HÜBNER, R. ; GONCALVES, R. A. ; SILVA F., A	B3	
trabalhoCompletoEmCongresso	2014		Efficient Instrumentation Profiling Strategy for Translation Unit Incremental Discovery in Dynamic Binary Translation	XXXIII International Conference of the Chilean Society of Computer Science (SCCC 2014). Jornadas Chilenas de Computación 2014	FOLEISS, J. H. ; SILVA, A. F. ; HÜBNER, R. ; GONÇALVES, R. A.	B3	SCCC
trabalhoCompletoEmCongresso	2014		Assessing Textural Features For Writer Identification on Different Writing Styles and Forgeries	International Conference on Pattern Recognition	GONÇALVES, Diego Bertolini ; Oliveira, L.S. ; Justino, E. ; Sabaourin, R.	A1	
trabalhoCompletoEmCongresso	2014		Uma Visão Geral sobre Ferramentas de Paralelização Automática de Código	XV Simpósio em Sistemas Computacionais de Alto Desempenho - WSCAD 2014	GONÇALVES, R. A. ; STRINGHINI, D. ; GOLDMAN, A.	B4	Simpósio em Sistemas Computacionais
trabalhoCompletoEmCongresso	2014		Development and Evaluation of PLH-Env: a Implicit Parallel Execution Environment	XXXIII International Conference of the Chilean Society of Computer Science (SCCC 2014). Jornadas Chilenas de Computación 2014	HÜBNER, R. ; FOLEISS, J. H. ; GONÇALVES, R. A. ; SILVA, A. F.	B3	SCCC
trabalhoCompletoEmCongresso	2014	http://dx.doi.org/10.1109/SMC.2014.6974274	Converging Natural User Interfaces guidelines and the design of applications for older adults	2014 IEEE International Conference on Systems	KAWAMOTO, A. L. S. ; MARTINS, VALERIA FARINAZZO ; DA SILVA, FLAVIO SOARES CORREA	B3	International Conference on Systems
trabalhoCompletoEmCongresso	2014		Padrões de Socialização de Novatos em Projetos de Software Livre	XV Workshop Internacional de Software Livre	MACIEL, A. C. ; STEINMACHER, I. F. ; GRACIOTTO SILVA, M. A.	Qualis nao identificado	XV Workshop Internacional de Software Livre
trabalhoCompletoEmCongresso	2014		Estudo e análise de vulnerabilidades web	WTICG - Workshop de Trabalhos de Iniciação Científica e de Graduação	MONTEVERDE, W. A. ; CAMPIOLO, Rodrigo	Qualis nao identificado	WTICG - Workshop de Trabalhos de Iniciação Científica e de Graduação
